deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
1129191,21563,1096485,562712,1682096,11108851
1607,468,2576,406,4221,116243
6932,315,6610,3139,10690,207786
19676,622,17338,9691,27902,312033
45913,969,39223,23957,62028,460168
201398,4239,192383,109685,287795,1842069
253716,4557,257737,138141,377284,2265531
294837,5169,298020,150003,447460,2729816
305112,5224,282598,127690,464716,3175205
740141,13744,822655,458203,1117262,3460199
847,253,1395,245,2239,64565
4713,202,4927,2655,7175,41035
14124,414,13789,8427,19875,82625
34681,632,32587,21320,46539,156753
158024,2868,162535,98793,224425,695925
194760,3156,212772,122036,288368,852323
195459,3432,224996,121568,302040,887596
137533,2787,169654,83159,226601,679377
40633,1140,32805,12785,61716,662097
455,135,674,90,1165,22112
730,43,478,158,1090,33329
1674,66,1003,416,2324,41514
3234,80,1864,892,4282,53216
9750,250,6305,2755,13528,153535
9024,226,7231,2903,13564,140585
8880,202,8047,3116,13993,126824
6886,138,7203,2455,11770,90982
1111,29,690,268,1562,29636
20,3,23,6,40,976
16,2,16,3,31,2273
59,1,28,10,78,2637
100,5,50,21,134,2924
304,4,170,72,406,7488
236,5,144,58,327,5657
215,6,146,61,306,4494
161,3,113,37,240,3187
113005,3361,82757,29305,168808,3744372
229,65,389,46,634,17158
1109,55,801,244,1709,58313
2947,117,1625,613,4061,102048
6051,216,3018,1208,8003,156656
20970,856,11846,4293,29092,665822
20946,752,14883,5003,31339,799987
26648,642,21441,7675,40858,921427
34105,658,28754,10223,53112,1022961
40407,1044,49691,17916,73129,682075
6,1,13,2,18,436
37,0,75,12,100,1492
128,4,212,42,302,5187
363,10,534,131,776,13928
3135,101,4680,1311,6599,92986
6658,190,9121,2898,13051,145188
12692,338,15397,5780,22618,196743
17388,400,19659,7740,29665,226115
168364,1826,89184,36786,222460,1730696
3,0,9,1,11,111
39,0,54,11,82,757
114,2,150,32,234,2595
440,4,378,104,718,8286
6059,76,4362,1471,9020,92347
18722,168,10792,4081,25585,225585
45254,467,23733,10037,59389,467533
97733,1109,49706,21049,127421,933482
25406,418,18607,7399,36988,798222
47,11,72,16,113,10851
288,13,257,56,501,70490
629,18,531,151,1027,75279
1043,22,790,280,1574,68283
3140,84,2475,986,4703,133632
3344,59,2776,1152,5015,95969
5652,82,4229,1748,8206,124919
11263,129,7477,3010,15849,218799
124,1,96,50,171,1554
0,0,1,0,1,34
0,0,2,0,2,97
1,0,0,0,1,148
1,0,2,1,2,122
16,0,10,4,22,334
26,1,18,10,35,237
37,0,31,18,50,280
43,0,32,17,58,302
21197,334,16572,7313,30747,209273
18,5,41,,62,2364
140,5,112,54,203,4089
412,13,302,146,579,6103
1042,14,708,356,1407,10095
4516,90,3259,1586,6267,39321
5410,77,4310,1919,7873,47000
5526,75,4597,1985,8200,52716
4133,53,3243,1263,6156,47585
15900,249,13830,6410,23536,67428
10,5,14,,26,1125
98,5,85,43,142,778
309,5,259,131,443,1624
853,12,619,321,1162,3478
3758,64,2871,1468,5215,15199
4413,63,3754,1744,6482,17981
4156,62,3868,1748,6326,16828
2303,35,2360,954,3740,10415
777,24,419,130,1089,15652
5,5,12,0,18,598
17,5,5,,20,699
32,5,14,,47,962
70,5,25,12,85,1406
205,5,90,32,269,3904
188,5,99,26,265,3525
146,5,88,32,205,2885
116,5,87,25,180,1673
13,0,5,,18,318
5,0,5,,5,21
0,0,0,0,0,21
0,0,0,0,0,26
5,0,0,0,5,31
5,0,0,0,5,74
5,0,0,0,5,66
5,0,0,0,5,48
5,0,5,0,5,31
2019,35,933,338,2645,82994
5,5,5,,12,331
16,5,12,,24,934
59,5,21,13,70,1795
98,0,40,18,120,3383
380,16,148,47,496,14984
422,5,201,75,553,18606
538,5,253,93,702,22341
502,5,249,85,668,20620
310,5,508,134,692,7942
0,0,5,0,5,14
5,0,5,0,5,19
5,0,5,0,5,76
5,0,5,0,5,185
35,5,65,14,87,1221
63,5,107,27,145,1743
90,5,163,43,211,2391
116,5,163,50,233,2293
1964,11,754,262,2465,22650
0,0,0,0,0,5
0,0,5,0,5,15
0,0,5,0,5,32
5,0,5,,12,127
91,0,50,11,130,1420
280,5,126,41,367,3522
550,5,204,66,691,6682
1039,5,362,143,1262,10850
214,5,122,38,302,12289
0,0,0,0,0,273
5,5,5,,11,1623
10,0,5,,13,1588
15,0,11,,22,1485
44,5,35,14,67,2519
41,5,23,,58,1557
42,5,21,,61,1541
56,5,20,,70,1703
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1456,45,1400,803,2096,18020
10,5,5,,19,344
20,5,19,10,30,676
46,5,58,22,85,1051
93,5,95,56,136,1108
321,5,303,171,461,3802
387,12,358,236,521,4043
343,5,340,200,488,3836
236,5,219,107,356,3160
1013,31,1093,687,1449,6146
5,5,5,,5,138
13,0,13,,18,98
30,5,34,17,49,241
61,5,68,48,82,318
238,5,264,158,351,1385
298,11,299,216,392,1593
243,5,267,160,354,1479
127,5,145,79,197,894
56,5,43,15,86,1093
5,0,5,0,5,57
5,0,5,,5,83
5,0,5,,5,114
10,5,5,,16,124
18,0,5,,20,263
5,0,11,,19,211
5,0,5,,5,158
5,0,5,0,5,83
0,0,0,0,0,12
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,0
241,5,168,63,352,7316
5,5,5,0,5,99
5,0,5,0,5,232
5,0,11,,18,385
20,5,13,,30,414
46,5,25,,66,1630
55,5,26,12,70,1693
57,5,47,24,81,1550
50,5,39,16,74,1313
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
105,5,57,24,141,1751
0,0,0,0,0,0
5,0,0,0,5,5
0,0,0,0,0,5
0,0,0,0,0,16
5,0,5,0,5,127
18,0,12,,26,301
29,0,17,11,35,491
53,5,27,,74,804
41,5,39,14,68,1701
5,0,0,0,5,49
5,5,5,,5,255
5,5,5,,5,305
5,0,5,,5,236
16,5,5,,20,393
5,0,10,,14,242
5,0,5,,5,155
5,0,5,,5,66
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29906,351,28992,17260,41966,257385
48,13,84,17,128,2820
278,5,235,143,374,6150
737,14,654,405,1000,8707
1477,29,1281,876,1907,11401
5846,81,5535,3552,7904,41227
7244,78,7157,4460,10015,53233
8087,70,8041,4668,11525,66909
6189,62,6005,3139,9113,66938
20226,231,21425,13985,27885,70325
23,5,52,13,69,1430
201,5,191,130,266,1201
551,10,535,360,736,2431
1161,24,1088,793,1478,3972
4677,58,4659,3206,6185,14989
5640,54,5838,3926,7603,17977
5352,48,5868,3723,7542,18184
2621,26,3194,1834,4006,10141
939,18,782,339,1398,13939
18,5,22,,39,604
25,0,10,,32,998
56,5,35,14,79,1199
80,5,44,21,103,1200
265,5,169,75,362,3179
221,5,181,82,325,2836
188,5,202,91,301,2530
86,5,119,49,157,1393
5,0,5,,5,80
0,0,0,0,0,5
5,0,0,0,5,5
5,0,5,,5,5
0,0,0,0,0,5
5,0,5,,5,16
0,0,0,0,0,15
5,0,5,0,5,17
0,0,0,0,0,17
3291,42,2625,1100,4856,88329
5,5,5,0,12,364
28,0,17,,38,1435
70,5,43,18,96,2102
151,5,74,34,192,3182
509,5,351,142,727,13583
