group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2020,1,4,Alabama,Total - All Places of Death,All Ages,5,35,282,0,318,4729
By Month,2020,1,4,Alabama,Total - All Places of Death,0-17 years,0,5,5,0,5,71
By Month,2020,1,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0,0,72
By Month,2020,1,4,Alabama,Total - All Places of Death,30-39 years,0,5,5,0,5,103
By Month,2020,1,4,Alabama,Total - All Places of Death,40-49 years,0,5,10,0,13,199
By Month,2020,1,4,Alabama,Total - All Places of Death,50-64 years,5,13,51,0,65,895
By Month,2020,1,4,Alabama,Total - All Places of Death,65-74 years,0,11,64,0,75,1034
By Month,2020,1,4,Alabama,Total - All Places of Death,75-84 years,0,5,86,0,91,1178
By Month,2020,1,4,Alabama,Total - All Places of Death,85 years and over,0,5,64,0,65,1177
By Month,2020,2,4,Alabama,Total - All Places of Death,All Ages,5,39,276,0,316,4627
By Month,2020,2,4,Alabama,Total - All Places of Death,0-17 years,0,5,0,0,5,60
By Month,2020,2,4,Alabama,Total - All Places of Death,18-29 years,0,5,5,0,5,77
By Month,2020,2,4,Alabama,Total - All Places of Death,30-39 years,0,5,5,0,5,128
By Month,2020,2,4,Alabama,Total - All Places of Death,40-49 years,0,5,5,0,5,195
By Month,2020,2,4,Alabama,Total - All Places of Death,50-64 years,0,15,68,0,83,926
By Month,2020,2,4,Alabama,Total - All Places of Death,65-74 years,0,12,60,0,72,968
By Month,2020,2,4,Alabama,Total - All Places of Death,75-84 years,0,5,76,0,79,1159
By Month,2020,2,4,Alabama,Total - All Places of Death,85 years and over,5,5,61,0,63,1114
By Month,2020,3,4,Alabama,Total - All Places of Death,All Ages,48,33,287,10,357,4756
By Month,2020,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,48
By Month,2020,3,4,Alabama,Total - All Places of Death,18-29 years,0,5,5,0,5,88
By Month,2020,3,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,0,5,148
By Month,2020,3,4,Alabama,Total - All Places of Death,40-49 years,5,5,13,5,18,213
By Month,2020,3,4,Alabama,Total - All Places of Death,50-64 years,12,11,59,5,79,892
By Month,2020,3,4,Alabama,Total - All Places of Death,65-74 years,14,5,62,5,81,1051
By Month,2020,3,4,Alabama,Total - All Places of Death,75-84 years,5,5,87,5,98,1165
By Month,2020,3,4,Alabama,Total - All Places of Death,85 years and over,10,5,58,5,70,1151
By Month,2020,4,4,Alabama,Total - All Places of Death,All Ages,339,10,352,97,603,4877
By Month,2020,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,59
By Month,2020,4,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0,0,99
By Month,2020,4,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,120
By Month,2020,4,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,0,12,237
By Month,2020,4,4,Alabama,Total - All Places of Death,50-64 years,71,5,60,14,120,906
By Month,2020,4,4,Alabama,Total - All Places of Death,65-74 years,87,5,81,29,144,1061
By Month,2020,4,4,Alabama,Total - All Places of Death,75-84 years,92,5,113,31,175,1224
By Month,2020,4,4,Alabama,Total - All Places of Death,85 years and over,80,0,83,21,142,1171
