group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2020,1,4,Alabama,Total - All Places of Death,65-74 years,0,11,64,0,75,1034
By Month,2020,1,4,Alabama,Total - All Places of Death,75-84 years,0,5,86,0,91,1178
By Month,2020,1,4,Alabama,Total - All Places of Death,85 years and over,0,5,64,0,65,1177
By Month,2020,2,4,Alabama,Total - All Places of Death,65-74 years,0,12,60,0,72,968
By Month,2020,2,4,Alabama,Total - All Places of Death,75-84 years,0,5,76,0,79,1159
By Month,2020,2,4,Alabama,Total - All Places of Death,85 years and over,5,5,61,0,63,1114
By Month,2020,3,4,Alabama,Total - All Places of Death,65-74 years,14,5,62,5,81,1051
By Month,2020,3,4,Alabama,Total - All Places of Death,75-84 years,5,5,87,5,98,1165
By Month,2020,3,4,Alabama,Total - All Places of Death,85 years and over,10,5,58,5,70,1151
By Month,2020,4,4,Alabama,Total - All Places of Death,65-74 years,87,5,81,29,144,1061
By Month,2020,4,4,Alabama,Total - All Places of Death,75-84 years,92,5,113,31,175,1224
By Month,2020,4,4,Alabama,Total - All Places of Death,85 years and over,80,0,83,21,142,1171
By Month,2020,5,4,Alabama,Total - All Places of Death,65-74 years,100,5,99,30,169,1083
By Month,2020,5,4,Alabama,Total - All Places of Death,75-84 years,109,5,102,39,173,1243
By Month,2020,5,4,Alabama,Total - All Places of Death,85 years and over,129,5,98,41,187,1209
By Month,2020,6,4,Alabama,Total - All Places of Death,65-74 years,108,5,87,35,161,1040
By Month,2020,6,4,Alabama,Total - All Places of Death,75-84 years,105,0,101,34,172,1218
By Month,2020,6,4,Alabama,Total - All Places of Death,85 years and over,78,0,72,25,125,1133
By Month,2020,7,4,Alabama,Total - All Places of Death,65-74 years,211,0,140,73,278,1265
By Month,2020,7,4,Alabama,Total - All Places of Death,75-84 years,227,5,127,68,287,1438
By Month,2020,7,4,Alabama,Total - All Places of Death,85 years and over,238,5,126,72,292,1335
By Month,2020,8,4,Alabama,Total - All Places of Death,65-74 years,233,5,143,79,298,1230
By Month,2020,8,4,Alabama,Total - All Places of Death,75-84 years,255,0,156,101,310,1485
By Month,2020,8,4,Alabama,Total - All Places of Death,85 years and over,247,0,136,78,305,1357
By Month,2020,9,4,Alabama,Total - All Places of Death,65-74 years,138,0,118,58,198,1148
By Month,2020,9,4,Alabama,Total - All Places of Death,75-84 years,178,0,128,62,244,1273
By Month,2020,9,4,Alabama,Total - All Places of Death,85 years and over,139,0,88,42,185,1237
By Month,2020,10,4,Alabama,Total - All Places of Death,65-74 years,150,0,125,53,222,1173
By Month,2020,10,4,Alabama,Total - All Places of Death,75-84 years,171,5,135,63,244,1330
By Month,2020,10,4,Alabama,Total - All Places of Death,85 years and over,118,5,92,37,174,1218
By Month,2020,11,4,Alabama,Total - All Places of Death,65-74 years,197,0,106,52,251,1270
By Month,2020,11,4,Alabama,Total - All Places of Death,75-84 years,228,5,128,75,281,1411
By Month,2020,11,4,Alabama,Total - All Places of Death,85 years and over,186,0,107,53,240,1324
By Month,2020,12,4,Alabama,Total - All Places of Death,65-74 years,431,5,228,145,515,1593
By Month,2020,12,4,Alabama,Total - All Places of Death,75-84 years,528,5,270,193,607,1868
By Month,2020,12,4,Alabama,Total - All Places of Death,85 years and over,449,0,200,141,508,1751
By Month,2021,1,4,Alabama,Total - All Places of Death,65-74 years,628,5,319,249,700,1793
By Month,2021,1,4,Alabama,Total - All Places of Death,75-84 years,734,5,363,289,808,2041
By Month,2021,1,4,Alabama,Total - All Places of Death,85 years and over,533,5,233,172,594,1872
