,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
0,By Month,2022,1,4,Alabama,Total - All Places of Death,All Ages,1234,14,674,399.0,1521,6695
1,By Month,2022,1,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,0.0,5,61
2,By Month,2022,1,4,Alabama,Total - All Places of Death,18-29 years,11,5,5,5.0,14,122
3,By Month,2022,1,4,Alabama,Total - All Places of Death,30-39 years,18,5,5,5.0,23,144
4,By Month,2022,1,4,Alabama,Total - All Places of Death,40-49 years,58,5,23,15.0,68,297
5,By Month,2022,1,4,Alabama,Total - All Places of Death,50-64 years,293,5,141,89.0,348,1291
6,By Month,2022,1,4,Alabama,Total - All Places of Death,65-74 years,295,0,169,106.0,358,1547
7,By Month,2022,1,4,Alabama,Total - All Places of Death,75-84 years,330,5,186,111.0,409,1718
8,By Month,2022,1,4,Alabama,Total - All Places of Death,85 years and over,227,5,139,71.0,296,1515
9,By Month,2022,2,4,Alabama,Total - All Places of Death,All Ages,1257,5,675,447.0,1489,5964
10,By Month,2022,2,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,55
11,By Month,2022,2,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,109
12,By Month,2022,2,4,Alabama,Total - All Places of Death,30-39 years,11,5,5,5.0,14,142
13,By Month,2022,2,4,Alabama,Total - All Places of Death,40-49 years,37,0,18,10.0,45,240
14,By Month,2022,2,4,Alabama,Total - All Places of Death,50-64 years,248,5,118,82.0,284,1087
15,By Month,2022,2,4,Alabama,Total - All Places of Death,65-74 years,360,0,191,133.0,418,1381
16,By Month,2022,2,4,Alabama,Total - All Places of Death,75-84 years,348,5,211,140.0,421,1562
17,By Month,2022,2,4,Alabama,Total - All Places of Death,85 years and over,249,5,124,75.0,299,1388
18,By Month,2022,3,4,Alabama,Total - All Places of Death,All Ages,382,5,354,137.0,606,5010
19,By Month,2022,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,50
20,By Month,2022,3,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,85
21,By Month,2022,3,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5.0,5,162
22,By Month,2022,3,4,Alabama,Total - All Places of Death,40-49 years,5,0,5,5.0,13,227
23,By Month,2022,3,4,Alabama,Total - All Places of Death,50-64 years,88,5,80,38.0,131,932
24,By Month,2022,3,4,Alabama,Total - All Places of Death,65-74 years,105,5,90,36.0,160,1139
25,By Month,2022,3,4,Alabama,Total - All Places of Death,75-84 years,121,5,105,40.0,189,1312
26,By Month,2022,3,4,Alabama,Total - All Places of Death,85 years and over,58,5,63,19.0,104,1103
27,By Month,2022,4,4,Alabama,Total - All Places of Death,All Ages,90,5,214,16.0,290,4554
28,By Month,2022,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,71
29,By Month,2022,4,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0.0,5,96
30,By Month,2022,4,4,Alabama,Total - All Places of Death,30-39 years,5,5,5,5.0,5,131
31,By Month,2022,4,4,Alabama,Total - All Places of Death,40-49 years,0,0,5,0.0,5,247
32,By Month,2022,4,4,Alabama,Total - All Places of Death,50-64 years,19,0,36,5.0,52,815
33,By Month,2022,4,4,Alabama,Total - All Places of Death,65-74 years,25,0,58,5.0,79,1040
34,By Month,2022,4,4,Alabama,Total - All Places of Death,75-84 years,22,0,68,5.0,86,1111
35,By Month,2022,4,4,Alabama,Total - All Places of Death,85 years and over,21,5,40,5.0,58,1043
36,By Month,2022,5,4,Alabama,Total - All Places of Death,All Ages,65,0,221,15.0,271,4613
37,By Month,2022,5,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0.0,0,66
38,By Month,2022,5,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0.0,5,109
39,By Month,2022,5,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,5,152
40,By Month,2022,5,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,5.0,13,230
41,By Month,2022,5,4,Alabama,Total - All Places of Death,50-64 years,14,0,39,5.0,46,821
42,By Month,2022,5,4,Alabama,Total - All Places of Death,65-74 years,13,0,59,5.0,70,1052
43,By Month,2022,5,4,Alabama,Total - All Places of Death,75-84 years,16,0,60,5.0,72,1156
44,By Month,2022,5,4,Alabama,Total - All Places of Death,85 years and over,17,0,46,5.0,62,1027
45,By Month,2022,6,4,Alabama,Total - All Places of Death,All Ages,112,0,219,31.0,300,4618
46,By Month,2022,6,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0.0,5,54
47,By Month,2022,6,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5.0,5,87
48,By Month,2022,6,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0.0,5,158
49,By Month,2022,6,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,5.0,11,245
50,By Month,2022,6,4,Alabama,Total - All Places of Death,50-64 years,16,0,36,5.0,49,857
51,By Month,2022,6,4,Alabama,Total - All Places of Death,65-74 years,22,0,62,10.0,74,1015
52,By Month,2022,6,4,Alabama,Total - All Places of Death,75-84 years,36,0,56,10.0,82,1154
53,By Month,2022,6,4,Alabama,Total - All Places of Death,85 years and over,31,0,48,5.0,74,1048
54,By Month,2022,7,4,Alabama,Total - All Places of Death,All Ages,250,5,235,57.0,429,4865
55,By Month,2022,7,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,5.0,5,75
56,By Month,2022,7,4,Alabama,Total - All Places of Death,18-29 years,5,0,0,0.0,5,109
