group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2023,1,4,Alabama,Total - All Places of Death,All Ages,257,18,347,86,532,5316
By Month,2023,1,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,48
By Month,2023,1,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0,0,107
By Month,2023,1,4,Alabama,Total - All Places of Death,30-39 years,0,0,5,0,5,163
By Month,2023,1,4,Alabama,Total - All Places of Death,40-49 years,5,5,13,5,16,247
By Month,2023,1,4,Alabama,Total - All Places of Death,50-64 years,28,5,54,12,72,875
By Month,2023,1,4,Alabama,Total - All Places of Death,65-74 years,63,5,83,17,134,1196
By Month,2023,1,4,Alabama,Total - All Places of Death,75-84 years,87,5,111,33,166,1411
By Month,2023,1,4,Alabama,Total - All Places of Death,85 years and over,75,5,80,22,138,1269
By Month,2023,2,4,Alabama,Total - All Places of Death,All Ages,156,5,298,56,403,4669
By Month,2023,2,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,47
By Month,2023,2,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0,5,87
By Month,2023,2,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,0,5,126
By Month,2023,2,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,0,14,203
By Month,2023,2,4,Alabama,Total - All Places of Death,50-64 years,18,5,38,5,51,802
By Month,2023,2,4,Alabama,Total - All Places of Death,65-74 years,36,5,72,14,95,1019
By Month,2023,2,4,Alabama,Total - All Places of Death,75-84 years,52,5,102,22,135,1296
By Month,2023,2,4,Alabama,Total - All Places of Death,85 years and over,44,5,67,15,97,1089
By Month,2023,3,4,Alabama,Total - All Places of Death,All Ages,93,5,276,28,341,4707
By Month,2023,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,52
By Month,2023,3,4,Alabama,Total - All Places of Death,18-29 years,0,0,5,0,5,73
By Month,2023,3,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,124
By Month,2023,3,4,Alabama,Total - All Places of Death,40-49 years,5,0,11,5,11,217
By Month,2023,3,4,Alabama,Total - All Places of Death,50-64 years,10,0,41,5,50,807
By Month,2023,3,4,Alabama,Total - All Places of Death,65-74 years,19,0,67,5,81,1091
By Month,2023,3,4,Alabama,Total - All Places of Death,75-84 years,28,0,92,13,107,1224
By Month,2023,3,4,Alabama,Total - All Places of Death,85 years and over,33,5,57,5,84,1119
By Month,2023,4,4,Alabama,Total - All Places of Death,All Ages,40,0,147,13,174,2769
By Month,2023,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,15
By Month,2023,4,4,Alabama,Total - All Places of Death,18-29 years,0,0,0,0,0,18
By Month,2023,4,4,Alabama,Total - All Places of Death,30-39 years,5,0,0,0,5,43
By Month,2023,4,4,Alabama,Total - All Places of Death,40-49 years,0,0,5,0,5,119
By Month,2023,4,4,Alabama,Total - All Places of Death,50-64 years,5,0,29,0,31,487
By Month,2023,4,4,Alabama,Total - All Places of Death,65-74 years,5,0,39,5,43,627
By Month,2023,4,4,Alabama,Total - All Places of Death,75-84 years,11,0,31,5,40,727
By Month,2023,4,4,Alabama,Total - All Places of Death,85 years and over,19,0,43,5,54,733
By Month,2023,1,10,Alaska,Total - All Places of Death,All Ages,10,5,28,5,35,490
By Month,2023,1,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0,0,5
