deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
5,35,282,0,318,4729
0,5,5,0,5,71
0,0,0,0,0,72
0,5,5,0,5,103
0,5,10,0,13,199
5,13,51,0,65,895
0,11,64,0,75,1034
0,5,86,0,91,1178
0,5,64,0,65,1177
5,39,276,0,316,4627
0,5,0,0,5,60
0,5,5,0,5,77
0,5,5,0,5,128
0,5,5,0,5,195
0,15,68,0,83,926
0,12,60,0,72,968
0,5,76,0,79,1159
5,5,61,0,63,1114
48,33,287,10,357,4756
0,0,5,0,5,48
0,5,5,0,5,88
5,5,5,0,5,148
5,5,13,5,18,213
12,11,59,5,79,892
14,5,62,5,81,1051
5,5,87,5,98,1165
10,5,58,5,70,1151
339,10,352,97,603,4877
0,0,5,0,5,59
0,0,0,0,0,99
5,0,5,5,5,120
5,0,5,0,12,237
71,5,60,14,120,906
87,5,81,29,144,1061
92,5,113,31,175,1224
80,0,83,21,142,1171
430,5,399,132,699,5108
0,0,5,0,5,72
5,0,5,5,5,113
5,0,5,5,11,176
16,0,11,5,24,234
67,0,80,17,130,978
100,5,99,30,169,1083
109,5,102,39,173,1243
129,5,98,41,187,1209
399,5,350,130,620,4901
5,0,0,0,5,57
0,0,5,0,5,102
10,0,5,5,13,154
18,0,13,5,28,243
79,0,66,27,118,954
108,5,87,35,161,1040
105,0,101,34,172,1218
78,0,72,25,125,1133
879,5,522,279,1124,5717
0,0,0,0,0,53
5,0,5,5,5,105
15,0,5,5,18,161
27,0,13,5,32,245
157,5,102,51,209,1115
211,0,140,73,278,1265
227,5,127,68,287,1438
238,5,126,72,292,1335
964,5,572,334,1203,5765
0,0,0,0,0,63
5,0,5,5,5,115
11,0,18,5,24,170
39,0,20,13,46,275
174,0,97,56,215,1070
233,5,143,79,298,1230
255,0,156,101,310,1485
247,0,136,78,305,1357
568,0,426,193,801,5110
5,0,5,5,5,51
5,0,0,0,5,88
5,0,5,5,10,138
16,0,16,5,25,228
85,0,69,21,133,947
138,0,118,58,198,1148
178,0,128,62,244,1273
139,0,88,42,185,1237
560,5,437,189,810,5199
0,0,5,0,5,64
5,0,5,0,5,111
5,0,5,0,5,133
18,0,14,5,27,230
95,0,65,31,129,940
150,0,125,53,222,1173
171,5,135,63,244,1330
118,5,92,37,174,1218
768,5,456,232,993,5548
0,0,5,0,5,46
5,0,5,5,5,107
5,5,5,0,15,158
20,0,14,5,28,234
129,5,86,45,171,998
197,0,106,52,251,1270
228,5,128,75,281,1411
186,0,107,53,240,1324
1749,5,854,581,2026,7025
0,0,0,0,0,49
5,0,5,5,5,127
12,0,5,5,13,139
60,0,25,16,69,321
265,5,124,82,308,1177
431,5,228,145,515,1593
528,5,270,193,607,1868
449,0,200,141,508,1751
2415,5,1164,891,2692,7821
5,0,5,0,5,59
5,0,5,5,5,126
26,0,12,5,30,167
61,0,33,23,71,315
429,5,199,149,481,1448
628,5,319,249,700,1793
734,5,363,289,808,2041
533,5,233,172,594,1872
970,5,560,345,1189,5554
0,0,5,0,5,52
5,0,5,5,5,98
10,0,5,5,13,146
28,0,20,10,38,226
187,5,114,71,231,1041
300,0,161,106,355,1278
288,5,160,105,345,1470
153,5,97,49,202,1243
393,5,364,143,615,5076
0,0,0,0,0,75
5,0,5,0,5,99
5,0,5,5,5,148
15,0,12,5,23,241
78,5,67,37,108,982
117,5,108,43,183,1132
113,0,107,39,181,1314
60,0,64,18,106,1085
216,5,287,72,432,4972
0,0,5,0,5,64
5,0,5,5,5,121
5,5,5,5,5,161
17,0,18,5,27,283
48,5,57,20,86,940
52,0,83,18,117,1162
48,0,68,11,105,1184
43,0,49,10,82,1057
212,5,277,79,411,4910
0,0,0,0,0,64
5,0,5,5,5,114
5,0,5,5,5,168
18,0,12,5,25,243
55,5,52,21,87,941
68,0,83,26,125,1143
38,0,75,15,98,1168
28,0,50,10,68,1069
132,5,270,45,358,4697
5,0,5,5,5,82
0,0,5,0,5,110
5,0,5,0,10,153
5,0,10,5,15,254
32,5,50,10,73,891
33,0,78,13,98,1042
35,0,69,12,92,1120
19,0,53,5,67,1045
261,0,335,99,497,4918
0,0,5,0,5,78
5,0,5,5,5,114
11,0,5,5,16,136
23,0,22,11,34,287
74,0,75,26,123,980
66,0,85,26,125,1089
51,0,81,18,114,1179
32,0,56,10,78,1055
1682,5,854,632,1904,6655
5,0,0,0,5,61
29,0,16,15,30,112
73,0,42,35,80,249
173,5,79,69,183,427
504,0,228,188,544,1497
424,0,214,158,480,1527
312,0,172,114,370,1515
165,0,103,53,215,1267
1978,5,981,761,2198,6766
5,0,0,0,5,67
23,0,5,5,24,131
85,0,33,28,90,246
202,0,89,79,212,438
644,5,327,272,699,1574
496,0,249,190,555,1604
355,0,176,129,402,1501
171,0,101,58,214,1205
844,5,577,333,1094,5600
5,0,5,5,5,66
12,0,11,5,15,127
29,0,20,16,33,193
85,0,46,29,102,316
271,5,155,109,320,1136
208,0,142,84,266,1333
139,5,115,55,202,1278
98,0,87,31,154,1151
299,5,335,108,529,5031
5,0,0,0,5,60
5,5,5,5,5,89
13,0,5,5,16,151
22,0,14,5,28,235
84,5,66,31,119,944
77,0,99,29,147,1183
65,5,93,27,132,1285
36,5,55,5,84,1084
317,5,352,96,577,5323
0,0,5,0,5,67
5,0,5,0,5,116
5,0,5,5,11,169
32,0,19,5,44,277
75,5,71,25,123,995
79,0,86,26,139,1189
76,0,87,23,140,1304
44,5,80,14,112,1206
1234,14,674,399,1521,6695
5,0,5,0,5,61
11,5,5,5,14,122
18,5,5,5,23,144
58,5,23,15,68,297
293,5,141,89,348,1291
295,0,169,106,358,1547
330,5,186,111,409,1718
227,5,139,71,296,1515
1257,5,675,447,1489,5964
0,0,5,0,5,55
5,0,5,5,5,109
11,5,5,5,14,142
37,0,18,10,45,240
248,5,118,82,284,1087
360,0,191,133,418,1381
348,5,211,140,421,1562
249,5,124,75,299,1388
382,5,354,137,606,5010
0,0,0,0,0,50
5,0,5,5,5,85
5,0,5,5,5,162
5,0,5,5,13,227
88,5,80,38,131,932
105,5,90,36,160,1139
121,5,105,40,189,1312
58,5,63,19,104,1103
90,5,214,16,290,4554
0,0,5,0,5,71
0,0,5,0,5,96
5,5,5,5,5,131
0,0,5,0,5,247
19,0,36,5,52,815
25,0,58,5,79,1040
22,0,68,5,86,1111
21,5,40,5,58,1043
65,0,221,15,271,4613
0,0,0,0,0,66
5,0,5,0,5,109
5,0,5,0,5,152
5,0,11,5,13,230
14,0,39,5,46,821
13,0,59,5,70,1052
16,0,60,5,72,1156
17,0,46,5,62,1027
112,0,219,31,300,4618
0,0,5,0,5,54
5,0,5,5,5,87
5,0,5,0,5,158
5,0,11,5,11,245
16,0,36,5,49,857
22,0,62,10,74,1015
36,0,56,10,82,1154
31,0,48,5,74,1048
250,5,235,57,429,4865
5,0,5,5,5,75
5,0,0,0,5,109
5,0,5,0,5,178
5,0,5,5,12,252
44,0,41,5,79,892
54,0,51,10,95,995
74,5,84,25,134,1245
64,0,45,13,96,1119
266,0,270,74,462,4823
0,0,0,0,0,65
5,0,5,5,5,115
5,0,5,5,5,171
5,0,5,5,11,243
36,0,52,13,75,854
52,0,72,12,112,1063
81,0,68,18,131,1235
80,0,65,26,119,1077
194,5,259,58,396,4693
0,0,5,0,5,56
5,0,5,5,5,103
5,0,5,0,5,153
5,5,12,5,15,210
32,0,50,10,72,878
49,0,70,14,105,1075
50,0,78,17,111,1176
57,0,38,15,80,1042
106,16,258,39,340,5072
0,5,5,0,5,56
5,0,5,5,5,99
5,5,5,0,5,159
5,0,5,0,11,247
15,5,43,5,56,914
27,5,70,5,90,1145
35,5,81,16,102,1331
24,5,49,5,69,1121
100,41,232,26,344,4894
0,5,5,0,5,56
0,0,5,0,5,109
5,5,5,0,5,134
5,5,10,0,14,245
12,5,34,5,49,863
24,10,48,5,76,1052
35,15,77,11,114,1305
25,5,56,5,81,1130
170,44,324,50,483,5326
0,0,5,0,5,49
5,0,5,0,5,100
5,5,5,0,5,148
5,5,5,0,13,230
25,10,39,5,68,979
42,12,89,14,129,1172
46,11,112,15,151,1402
52,5,70,16,113,1246
257,18,347,86,532,5316
0,0,5,0,5,48
0,0,0,0,0,107
0,0,5,0,5,163
5,5,13,5,16,247
28,5,54,12,72,875
63,5,83,17,134,1196
87,5,111,33,166,1411
75,5,80,22,138,1269
156,5,298,56,403,4669
0,0,5,0,5,47
5,0,5,0,5,87
5,0,5,0,5,126
5,0,11,0,14,203
18,5,38,5,51,802
36,5,72,14,95,1019
52,5,102,22,135,1296
44,5,67,15,97,1089
93,5,276,28,341,4707
0,0,5,0,5,52
0,0,5,0,5,73
5,0,5,5,5,124
5,0,11,5,11,217
10,0,41,5,50,807
19,0,67,5,81,1091
28,0,92,13,107,1224
33,5,57,5,84,1119
40,0,147,13,174,2769
0,0,0,0,0,15
0,0,0,0,0,18
5,0,0,0,5,43
0,0,5,0,5,119
5,0,29,0,31,487
5,0,39,5,43,627
11,0,31,5,40,727
19,0,43,5,54,733
0,5,10,0,13,422
0,5,0,0,5,5
0,5,0,0,5,13
0,0,5,0,5,21
0,0,5,0,5,23
0,0,5,0,5,88
0,0,5,0,5,86
0,5,5,0,5,84
0,0,5,0,5,98
0,5,14,0,18,363
0,5,0,0,5,5
0,0,0,0,0,16
0,0,5,0,5,12
0,0,0,0,0,24
0,0,5,0,5,73
0,5,5,0,5,90
0,0,5,0,5,71
0,5,5,0,5,68
5,5,28,5,30,356
0,0,5,0,5,11
0,0,5,0,5,17
0,0,0,0,0,22
0,0,0,0,0,12
5,0,5,5,5,74
5,5,5,5,5,73
0,5,5,0,5,87
0,0,5,0,5,60
5,0,15,5,18,357
0,0,0,0,0,5
0,0,0,0,0,15
5,0,5,0,5,12
0,0,0,0,0,25
5,0,5,0,5,71
5,0,5,5,5,75
0,0,5,0,5,88
0,0,5,0,5,63
5,0,15,0,16,386
0,0,0,0,0,5
0,0,0,0,0,19
0,0,5,0,5,24
0,0,5,0,5,25
0,0,5,0,5,86
0,0,5,0,5,84
0,0,5,0,5,70
5,0,5,0,5,73
5,0,12,5,13,370
0,0,0,0,0,10
0,0,5,0,5,18
0,0,0,0,0,23
0,0,5,0,5,17
0,0,5,0,5,92
0,0,0,0,0,73
5,0,5,5,5,76
0,0,0,0,0,61
12,0,18,5,23,432
0,0,0,0,0,5
0,0,0,0,0,32
0,0,0,0,0,25
5,0,5,5,5,34
5,0,5,5,5,82
5,0,5,5,5,98
5,0,5,5,5,87
5,0,5,5,5,66
19,0,20,5,30,428
0,0,0,0,0,11
0,0,0,0,0,16
0,0,0,0,0,26
5,0,5,5,5,28
5,0,5,0,5,95
5,0,5,5,11,88
5,0,5,5,5,93
5,0,5,5,5,71
12,0,16,5,22,423
0,0,0,0,0,5
0,0,0,0,0,13
0,0,5,0,5,31
5,0,5,5,5,31
5,0,5,0,5,95
5,0,5,5,5,94
5,0,5,5,5,73
5,0,5,5,5,78
34,0,36,18,52,465
0,0,0,0,0,5
5,0,5,0,5,19
0,0,5,0,5,33
5,0,5,5,5,27
5,0,5,5,5,93
5,0,5,5,5,103
12,0,5,5,14,101
10,0,10,5,14,82
69,0,60,44,85,499
0,0,0,0,0,14
5,0,5,5,5,14
5,0,5,5,5,21
5,0,5,5,5,30
5,0,5,5,12,100
14,0,14,5,19,99
16,0,14,12,18,120
21,0,17,12,26,101
97,5,68,52,114,507
0,0,0,0,0,5
0,0,0,0,0,11
5,0,0,0,5,30
5,0,5,5,5,33
12,5,5,5,15,98
31,0,18,15,34,114
32,0,23,21,34,117
20,0,14,10,24,96
37,0,32,17,52,473
0,0,0,0,0,10
0,0,0,0,0,18
0,0,0,0,0,29
5,0,5,5,5,27
5,0,5,5,5,98
5,0,5,5,10,96
10,0,5,5,15,95
14,0,5,5,16,100
18,0,17,5,26,365
0,0,0,0,0,5
5,0,0,0,5,14
0,0,5,0,5,17
0,0,0,0,0,16
5,0,5,5,5,78
5,0,5,5,11,91
5,0,5,5,5,84
5,0,5,5,5,56
16,0,19,5,27,420
0,0,5,0,5,13
0,0,0,0,0,22
5,0,0,0,5,23
5,0,0,0,5,23
5,0,5,5,5,84
5,0,5,5,10,90
5,0,5,5,5,86
5,0,0,0,5,79
17,0,18,5,26,414
0,0,0,0,0,5
0,0,0,0,0,17
0,0,5,0,5,24
5,0,0,0,5,30
5,0,5,5,5,98
5,0,5,5,5,92
5,0,5,5,5,77
5,0,5,5,5,68
32,0,31,21,42,433
5,0,0,0,5,12
5,0,5,5,5,23
5,0,5,0,5,29
0,0,0,0,0,27
5,0,5,5,10,93
10,0,10,5,12,92
5,0,5,5,5,84
5,0,5,5,5,73
5,0,11,5,12,414
0,0,0,0,0,5
0,0,0,0,0,23
5,0,0,0,5,32
0,0,0,0,0,25
0,0,5,0,5,79
5,0,5,5,5,96
0,0,5,0,5,74
5,0,5,5,5,81
25,0,36,20,41,467
0,0,0,0,0,12
0,0,0,0,0,24
0,0,5,0,5,28
5,0,5,5,5,29
5,0,5,5,5,92
5,0,5,5,5,116
5,0,10,5,11,97
5,0,5,5,5,69
