,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
0,5,35,282,0,318,4729,1,purple
1,0,5,5,0,5,71,0,pink
2,0,0,0,0,0,72,0,pink
3,0,5,5,0,5,103,0,pink
4,0,5,10,0,13,199,0,pink
5,5,13,51,0,65,895,0,pink
6,0,11,64,0,75,1034,0,pink
7,0,5,86,0,91,1178,0,pink
8,0,5,64,0,65,1177,0,pink
9,5,39,276,0,316,4627,1,purple
10,0,5,0,0,5,60,0,pink
11,0,5,5,0,5,77,0,pink
12,0,5,5,0,5,128,0,pink
13,0,5,5,0,5,195,0,pink
14,0,15,68,0,83,926,0,pink
15,0,12,60,0,72,968,0,pink
16,0,5,76,0,79,1159,0,pink
17,5,5,61,0,63,1114,0,pink
18,48,33,287,10,357,4756,1,purple
19,0,0,5,0,5,48,0,pink
20,0,5,5,0,5,88,0,pink
21,5,5,5,0,5,148,0,pink
22,5,5,13,5,18,213,0,pink
23,12,11,59,5,79,892,0,pink
24,14,5,62,5,81,1051,0,pink
25,5,5,87,5,98,1165,0,pink
26,10,5,58,5,70,1151,0,pink
27,339,10,352,97,603,4877,1,purple
28,0,0,5,0,5,59,0,pink
29,0,0,0,0,0,99,0,pink
30,5,0,5,5,5,120,0,pink
31,5,0,5,0,12,237,0,pink
32,71,5,60,14,120,906,0,pink
33,87,5,81,29,144,1061,0,pink
34,92,5,113,31,175,1224,0,pink
35,80,0,83,21,142,1171,0,pink
36,430,5,399,132,699,5108,1,purple
37,0,0,5,0,5,72,0,pink
38,5,0,5,5,5,113,0,pink
39,5,0,5,5,11,176,0,pink
40,16,0,11,5,24,234,0,pink
41,67,0,80,17,130,978,0,pink
42,100,5,99,30,169,1083,0,pink
43,109,5,102,39,173,1243,0,pink
44,129,5,98,41,187,1209,0,pink
45,399,5,350,130,620,4901,1,purple
46,5,0,0,0,5,57,0,pink
47,0,0,5,0,5,102,0,pink
48,10,0,5,5,13,154,0,pink
49,18,0,13,5,28,243,0,pink
50,79,0,66,27,118,954,0,pink
51,108,5,87,35,161,1040,0,pink
52,105,0,101,34,172,1218,0,pink
53,78,0,72,25,125,1133,0,pink
54,879,5,522,279,1124,5717,1,purple
55,0,0,0,0,0,53,0,pink
56,5,0,5,5,5,105,0,pink
57,15,0,5,5,18,161,0,pink
58,27,0,13,5,32,245,0,pink
59,157,5,102,51,209,1115,0,pink
60,211,0,140,73,278,1265,0,pink
61,227,5,127,68,287,1438,0,pink
62,238,5,126,72,292,1335,0,pink
63,964,5,572,334,1203,5765,1,purple
64,0,0,0,0,0,63,0,pink
65,5,0,5,5,5,115,0,pink
66,11,0,18,5,24,170,0,pink
67,39,0,20,13,46,275,0,pink
68,174,0,97,56,215,1070,0,pink
69,233,5,143,79,298,1230,0,pink
70,255,0,156,101,310,1485,0,pink
71,247,0,136,78,305,1357,0,pink
72,568,0,426,193,801,5110,1,purple
73,5,0,5,5,5,51,0,pink
74,5,0,0,0,5,88,0,pink
75,5,0,5,5,10,138,0,pink
76,16,0,16,5,25,228,0,pink
77,85,0,69,21,133,947,0,pink
78,138,0,118,58,198,1148,0,pink
79,178,0,128,62,244,1273,0,pink
80,139,0,88,42,185,1237,0,pink
81,560,5,437,189,810,5199,1,purple
82,0,0,5,0,5,64,0,pink
83,5,0,5,0,5,111,0,pink
84,5,0,5,0,5,133,0,pink
85,18,0,14,5,27,230,0,pink
86,95,0,65,31,129,940,0,pink
87,150,0,125,53,222,1173,0,pink
88,171,5,135,63,244,1330,0,pink
89,118,5,92,37,174,1218,0,pink
90,768,5,456,232,993,5548,1,purple
91,0,0,5,0,5,46,0,pink
92,5,0,5,5,5,107,0,pink
93,5,5,5,0,15,158,0,pink
94,20,0,14,5,28,234,0,pink
95,129,5,86,45,171,998,0,pink
96,197,0,106,52,251,1270,0,pink
97,228,5,128,75,281,1411,0,pink
98,186,0,107,53,240,1324,0,pink
99,1749,5,854,581,2026,7025,1,purple
100,0,0,0,0,0,49,0,pink
101,5,0,5,5,5,127,0,pink
102,12,0,5,5,13,139,0,pink
103,60,0,25,16,69,321,0,pink
104,265,5,124,82,308,1177,0,pink
105,431,5,228,145,515,1593,0,pink
106,528,5,270,193,607,1868,0,pink
107,449,0,200,141,508,1751,0,pink
108,2415,5,1164,891,2692,7821,1,purple
109,5,0,5,0,5,59,0,pink
110,5,0,5,5,5,126,0,pink
111,26,0,12,5,30,167,0,pink
112,61,0,33,23,71,315,0,pink
113,429,5,199,149,481,1448,0,pink
114,628,5,319,249,700,1793,0,pink
115,734,5,363,289,808,2041,0,pink
116,533,5,233,172,594,1872,0,pink
117,970,5,560,345,1189,5554,1,purple
118,0,0,5,0,5,52,0,pink
119,5,0,5,5,5,98,0,pink
120,10,0,5,5,13,146,0,pink
121,28,0,20,10,38,226,0,pink
122,187,5,114,71,231,1041,0,pink
123,300,0,161,106,355,1278,0,pink
